por_zona,steffen
2400,2141
2356,2113
2381,2125
2381,2129
2506,2067
2344,2136
2384,2090
2320,2142
2324,2111
2289,2080
2387,2102
2399,2140
2370,2251
2313,2111
2404,2146
2494,2172
2390,2093
2445,2163
2326,2117
2498,2149
2308,2133
2468,2117
2360,2107
2322,2125
2256,2138
2290,2170
2358,2070
2394,2114
2503,2179
2436,2124
2345,2133
2430,2134
2367,2124
2297,2114
2271,2159
2387,2128
2372,2136
2342,2091
2469,2116
2369,2117
2416,2065
2349,2103
2357,2083
2315,2102
2300,2128
2509,2148
2322,2130
2233,2105
2367,2093
2310,2120
2366,2100
2459,2129
2313,2102
2412,2159
2375,2095
2266,2097
2271,2074
2308,2133
2414,2080
2326,2125
2427,2084
2324,2111
2402,2157
2273,2071
2436,2105
2236,2077
2340,2105
2342,2191
2363,2101
2419,2075
2375,2072
2424,2129
2365,2111
2300,2146
2335,2170
2388,2148
2429,2104
2359,2126
2291,2139
2395,2071
2465,2123
2411,2163
2382,2104
2361,2141
2493,2096
2318,2101
2365,2092
2301,2106
2406,2138
2375,2067
2437,2105
2455,2065
2293,2089
2440,2117
2401,2100
2411,2137
2368,2090
2299,2058
2429,2083
2325,2171
2372,2144
2334,2108
2395,2127
2408,2067
2446,2172
2384,2111
2302,2103
2261,2099
2342,2120
2417,2147
2523,2123
2322,2095
2349,2120
2379,2099
2381,2114
2301,2106
2421,2126
2307,2095
2520,2108
2311,2190
2300,2087
2404,2154
2278,2090
2358,2155
2286,2120
2275,2081
2236,2092
2271,2116
2410,2120
2396,2122
2258,2128
2377,2117
2376,2107
2352,2195
2188,2146
2457,2112
2366,2123
2354,2084
2263,2113
2322,2160
2348,2095
2355,2100
2348,2109
2341,2146
2355,2127
2263,2074
2481,2161
2418,2138
2270,2099
2366,2092
2455,2113
2360,2078
2422,2096
2344,2058
2321,2142
2421,2081
2290,2150
2336,2094
2385,2089
2318,2133
2296,2120
2502,2075
2438,2101
2341,2125
2361,2171
2459,2066
2358,2122
2465,2107
2297,2063
2275,2112
2332,2175
2468,2133
2495,2091
2384,2208
2402,2105
2423,2140
2421,2117
2465,2136
2387,2130
2362,2170
2217,2138
2327,2145
2345,2126
2421,2116
2436,2129
2459,2064
2495,2119
2388,2131
2456,2139
2409,2093
2501,2126
2325,2135
2350,2084
2386,2161
2390,2191
2395,2108
2246,2121
2295,2172
2409,2088
2373,2159
2371,2174
2350,2137
2314,2089
2325,2136
2404,2108
2359,2205
2348,2119
2330,2222
2375,2102
