random,por_zona,back_to_front,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen
2482,2491,2542,2207,2215,2177,2065
2514,2222,2755,2176,2309,2181,2097
2363,2386,2644,2204,2264,2185,2053
2458,2235,2660,2210,2262,2197,2081
2443,2445,2723,2293,2295,2188,2073
2465,2367,2719,2134,2238,2180,2082
2556,2284,2691,2107,2266,2219,2064
2507,2405,2552,2143,2296,2166,2083
2348,2287,2538,2236,2309,2186,2063
2464,2244,2602,2175,2272,2151,2086
2458,2396,2645,2180,2320,2207,2059
2491,2419,2551,2177,2257,2179,2060
2503,2196,2649,2159,2316,2179,2074
2530,2408,2555,2190,2268,2155,2077
2401,2305,2596,2178,2239,2205,2066
2287,2295,2597,2199,2351,2210,2077
2549,2406,2729,2174,2295,2142,2079
2448,2363,2630,2155,2284,2193,2052
2515,2461,2585,2192,2177,2200,2043
2428,2374,2606,2223,2320,2192,2097
2422,2319,2664,2155,2259,2184,2051
2422,2355,2726,2199,2326,2169,2061
2490,2380,2640,2199,2244,2181,2085
2509,2519,2659,2102,2293,2173,2081
2391,2304,2589,2218,2339,2225,2071
2297,2449,2695,2152,2291,2209,2091
2445,2343,2593,2196,2301,2148,2031
2450,2320,2499,2229,2222,2180,2076
2460,2392,2646,2196,2288,2187,2077
2569,2411,2552,2183,2330,2187,2085
2459,2466,2672,2189,2330,2231,2071
2327,2349,2602,2190,2197,2182,2094
2526,2251,2561,2231,2335,2228,2095
2379,2335,2616,2151,2317,2194,2077
2506,2307,2678,2196,2281,2203,2061
2492,2432,2726,2156,2334,2168,2104
2453,2372,2513,2169,2373,2142,2077
2409,2385,2617,2238,2328,2191,2089
2408,2382,2660,2131,2330,2196,2071
2489,2367,2573,2166,2213,2173,2085
2331,2338,2638,2153,2294,2170,2031
2470,2369,2628,2167,2303,2153,2077
2457,2402,2553,2150,2363,2209,2077
2487,2408,2589,2231,2247,2177,2071
2491,2339,2606,2219,2332,2154,2089
2473,2234,2783,2147,2211,2195,2092
2508,2294,2572,2166,2318,2170,2059
2407,2367,2593,2186,2299,2183,2100
2406,2333,2620,2121,2268,2161,2060
2401,2352,2680,2178,2282,2187,2047
2553,2345,2658,2147,2346,2169,2096
2465,2363,2589,2206,2308,2175,2046
2536,2291,2664,2179,2248,2181,2088
2461,2311,2633,2189,2233,2183,2053
2354,2297,2587,2175,2349,2193,2082
2448,2402,2622,2232,2265,2173,2089
2369,2305,2624,2231,2292,2246,2082
2215,2266,2565,2211,2311,2150,2089
2478,2398,2582,2159,2322,2188,2090
2464,2483,2600,2205,2337,2136,2053
2429,2383,2684,2123,2221,2180,2037
2492,2465,2634,2172,2318,2197,2046
2415,2292,2745,2165,2243,2159,2043
2391,2448,2567,2218,2257,2142,2075
2440,2360,2678,2163,2347,2200,2066
2411,2448,2487,2126,2266,2189,2083
2509,2527,2561,2140,2281,2196,2081
2436,2331,2636,2195,2269,2195,2081
2405,2291,2712,2224,2290,2202,2065
2556,2380,2668,2163,2256,2193,2066
2478,2383,2634,2132,2209,2214,2079
2453,2414,2680,2121,2289,2177,2072
2532,2402,2640,2126,2179,2184,2090
2546,2377,2567,2211,2184,2194,2073
2451,2401,2765,2142,2258,2174,2015
2308,2499,2657,2149,2231,2157,2080
2535,2342,2536,2172,2223,2208,2095
2385,2321,2714,2192,2280,2126,2075
2497,2288,2641,2158,2299,2211,2095
2434,2502,2481,2165,2272,2174,2094
2441,2359,2684,2223,2341,2143,2034
2488,2371,2677,2172,2313,2198,2101
2394,2448,2614,2201,2310,2191,2079
2348,2338,2650,2210,2308,2191,2097
2496,2425,2658,2154,2250,2171,2072
2333,2348,2617,2194,2288,2181,2064
2399,2457,2523,2096,2202,2225,2095
2528,2325,2581,2181,2319,2229,2076
2370,2386,2749,2171,2310,2184,2077
2355,2407,2673,2179,2348,2186,2044
2525,2303,2644,2180,2322,2152,2070
2422,2447,2551,2123,2230,2181,2085
2343,2279,2654,2157,2345,2160,2080
2507,2411,2686,2193,2262,2203,2104
2381,2476,2720,2168,2217,2200,2056
2548,2512,2593,2219,2335,2151,2076
2468,2340,2624,2155,2174,2156,2079
2579,2287,2588,2131,2301,2179,2076
2328,2252,2813,2139,2283,2153,2060
2469,2369,2724,2128,2209,2159,2083
2379,2361,2603,2230,2244,2153,2062
2487,2524,2668,2196,2306,2210,2081
2392,2380,2557,2227,2286,2178,2098
2500,2362,2653,2202,2231,2231,2067
2542,2354,2492,2174,2295,2200,2078
2454,2381,2644,2187,2204,2191,2055
2450,2418,2529,2152,2371,2152,2098
2444,2398,2721,2163,2283,2192,2101
2453,2411,2576,2195,2230,2143,2054
2405,2371,2522,2185,2213,2168,2082
2492,2555,2589,2182,2309,2119,2068
2446,2349,2602,2176,2270,2153,2070
2405,2421,2612,2169,2367,2194,2070
2450,2310,2557,2148,2321,2194,2104
2378,2432,2554,2163,2198,2220,2108
2382,2467,2621,2205,2288,2215,2085
2455,2318,2663,2148,2310,2191,2062
2470,2381,2754,2195,2306,2105,2096
2450,2359,2843,2163,2303,2181,2085
2457,2450,2650,2186,2316,2158,2089
2373,2390,2635,2159,2273,2181,2087
2380,2320,2584,2145,2333,2176,2074
2380,2381,2578,2209,2186,2178,2081
2322,2291,2610,2164,2273,2181,2062
2497,2354,2753,2174,2186,2220,2095
2499,2434,2529,2164,2337,2205,2078
2451,2314,2602,2225,2245,2170,2027
2465,2472,2726,2182,2317,2213,2073
2485,2356,2561,2218,2273,2201,2062
2412,2418,2697,2270,2271,2174,2048
2449,2377,2658,2134,2248,2168,2073
2469,2381,2683,2190,2245,2180,2074
2477,2395,2641,2159,2320,2196,2095
2348,2343,2585,2226,2266,2166,2055
2464,2297,2656,2197,2249,2181,2065
2352,2495,2619,2124,2283,2172,2035
2472,2343,2686,2222,2268,2174,2059
2477,2477,2651,2163,2348,2208,2027
2498,2407,2722,2151,2226,2177,2092
2442,2450,2526,2173,2260,2234,2058
2534,2245,2656,2161,2194,2154,2068
2421,2337,2661,2171,2281,2137,2046
2444,2370,2553,2198,2315,2154,2099
2457,2385,2659,2101,2351,2149,2049
2322,2421,2688,2099,2313,2150,2074
2455,2272,2582,2223,2270,2194,2069
2338,2375,2712,2144,2247,2195,2061
2493,2423,2633,2188,2286,2188,2059
2483,2351,2667,2239,2275,2203,2065
2419,2422,2521,2123,2213,2136,2058
2491,2399,2738,2194,2246,2170,2068
2545,2351,2575,2208,2225,2215,2083
2344,2434,2669,2132,2326,2207,2076
2480,2354,2654,2111,2294,2200,2064
2495,2357,2524,2168,2320,2182,2085
2375,2398,2524,2188,2253,2146,2092
2366,2425,2588,2149,2239,2172,2100
2527,2461,2761,2172,2230,2159,2101
2416,2348,2608,2128,2276,2208,2077
2248,2490,2642,2198,2270,2133,2088
2453,2306,2628,2204,2207,2154,2040
2492,2280,2610,2183,2268,2164,2058
2472,2376,2578,2128,2297,2184,2079
2410,2283,2589,2162,2252,2168,2044
2531,2264,2483,2139,2297,2171,2106
2350,2302,2662,2153,2302,2138,2074
2398,2375,2673,2188,2254,2196,2074
2573,2320,2600,2195,2274,2163,2050
2399,2363,2703,2203,2276,2155,2092
2395,2278,2652,2162,2311,2134,2073
2495,2372,2590,2175,2205,2167,2066
2435,2366,2535,2171,2286,2201,2088
2433,2340,2588,2180,2328,2189,2068
2432,2311,2671,2204,2328,2203,2066
2448,2357,2646,2235,2237,2181,2097
2495,2300,2620,2127,2295,2171,2077
2442,2333,2681,2152,2378,2159,2101
2456,2283,2732,2189,2349,2155,2061
2442,2385,2611,2159,2226,2181,2058
2576,2322,2575,2140,2335,2213,2086
2344,2505,2634,2096,2281,2181,2052
2329,2350,2701,2168,2275,2205,2056
2410,2310,2527,2110,2293,2193,2079
2448,2323,2563,2146,2162,2193,2082
2447,2308,2663,2197,2292,2147,2089
2453,2363,2620,2168,2337,2173,2082
2339,2405,2555,2115,2235,2177,2047
2477,2361,2635,2182,2254,2213,2094
2333,2468,2615,2187,2358,2212,2095
2334,2338,2634,2210,2201,2199,2081
2530,2452,2660,2163,2300,2181,2083
2432,2333,2662,2148,2262,2190,2089
2478,2366,2619,2167,2259,2213,2067
2395,2468,2753,2177,2192,2209,2077
2505,2356,2722,2153,2289,2190,2071
2517,2441,2648,2222,2221,2204,2073
2344,2397,2702,2087,2224,2150,2071
2524,2351,2684,2180,2336,2201,2071
2414,2405,2551,2251,2212,2213,2083
2473,2362,2598,2185,2298,2137,2051
2526,2371,2545,2145,2184,2114,2053
2471,2344,2695,2155,2310,2168,2064
2245,2375,2665,2220,2225,2160,2091
2482,2338,2709,2228,2307,2206,2087
2407,2410,2616,2205,2361,2151,2065
2575,2412,2649,2194,2276,2179,2042
2539,2382,2564,2146,2293,2197,2076
2361,2381,2623,2171,2338,2147,2081
2410,2456,2677,2191,2280,2206,2110
2429,2432,2559,2109,2248,2143,2071
2302,2363,2604,2228,2267,2183,2084
2451,2432,2760,2189,2295,2205,2079
2430,2432,2598,2185,2290,2211,2062
2457,2484,2563,2184,2200,2193,2067
2586,2362,2712,2190,2318,2138,2035
2403,2376,2623,2183,2240,2138,2094
2351,2326,2651,2204,2253,2141,2065
2446,2399,2680,2193,2224,2191,2089
2429,2397,2630,2215,2268,2162,2073
2370,2366,2643,2204,2308,2201,2046
2439,2369,2607,2143,2357,2192,2081
2501,2543,2753,2152,2281,2201,2097
2335,2440,2618,2195,2235,2140,2052
2517,2348,2712,2119,2329,2200,2068
2448,2515,2634,2164,2296,2187,2068
2391,2441,2641,2135,2262,2166,2040
2374,2305,2561,2177,2367,2211,2067
2471,2292,2565,2164,2194,2160,2079
2358,2395,2520,2133,2204,2159,2065
2564,2413,2680,2164,2278,2173,2067
2478,2434,2794,2193,2289,2193,2080
2371,2455,2619,2174,2243,2165,2092
2540,2402,2656,2166,2306,2187,2086
2429,2431,2652,2156,2206,2193,2098
2468,2408,2588,2081,2272,2147,2067
2369,2381,2602,2111,2257,2160,2062
2393,2387,2627,2117,2379,2202,2049
2365,2308,2644,2238,2323,2199,2074
