p,random,por_zona,back_to_front,wilma_random,wilma_back_to_front,steffen
0.0,1821.249,1797.178,1967.399,1667.589,1553,1517
0.1,1986.036,1970.623,2126.556,1837.668,1782.753,1736.496
0.2,2104.684,2083.561,2255.576,1956.186,1891.133,1825.168
0.3,2200.422,2176.655,2368.079,2048.09,1974.984,1883.036
0.4,2280.568,2259.89,2471.269,2124.151,2049.731,1930.249
0.5,2351.253,2337.508,2570.437,2191.131,2122.799,1973.773
0.6,2416.223,2410.708,2665.688,2251.427,2193.191,2014.715
0.7,2478.422,2483.15,2758.646,2308.416,2262.459,2054.416
0.8,2536.079,2552.603,2848.474,2362.88,2330.859,2093.119
0.9,2592.307,2621.346,2936.001,2416.77,2396.615,2130.578
1.0,2647.084,2687.447,3023.399,2469.406,2465,2168
