p,random,por_zona,back_to_front,wilma_random,wilma_back_to_front,steffen
0.0,1821.249,1766.914,1967.399,1667.589,1553,1528
0.1,1976.552,1931.262,2103.993,1829.128,1766.82,1709.227
0.2,2086.793,2029.957,2210.435,1940.048,1859.843,1812.975
0.3,2174.316,2108.968,2300.135,2024.515,1928.058,1883.373
0.4,2246.223,2177.58,2380.705,2093.318,1987.331,1936.245
0.5,2309.012,2238.05,2456.899,2153.052,2044.562,1980.371
0.6,2366.231,2295.021,2529.077,2206.119,2099.18,2019.371
0.7,2420.396,2348.925,2598.944,2255.943,2152.794,2055.658
0.8,2470.455,2400.195,2665.897,2303.225,2205.564,2090.038
0.9,2518.853,2450.123,2730.786,2349.549,2256.344,2123.162
1.0,2565.905,2499.005,2795.399,2394.778,2309,2155
