p_de_vacio,random,por_zona,back_to_front,wilma_random,wilma_back_to_front,steffen
0.0,2450.216,2380.192,2633.923,2282.096,2178.383,2072.443
0.1,2212.233,2127.062,2327.826,2075.611,1946.036,1894.254
0.2,1969.571,1875.274,2026.883,1860.429,1717.754,1708.051
0.3,1733.026,1644.752,1734.587,1652.05,1485.918,1530.039
0.4,1502.707,1403.191,1451.948,1443.789,1255.976,1346.637
0.5,1291.38,1179.14,1169.191,1232.095,1032.033,1156.773
0.6,1059.443,944.643,902.69,1031.007,828.464,969.736
0.7,833.255,723.038,651.194,813.335,643.46,779.888
0.8,616.45,513.82,437.449,605.648,491.555,581.453
0.9,402.37,339.168,289.05,400.989,348.12,388.562
1.0,0,0,0,0,0,0
