random,por_zona,back_to_front,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen
378.83,310.71,241.38,169.06,168.72,185.18,163.37
371.55,254.44,284.38,169.29,164.78,184.66,164.79
398.26,283.34,261.79,172.23,167.14,185.08,162.28
377.61,260.41,266.86,171.26,165.94,185.16,164.8
415.97,349.93,263.44,174.58,166.62,183.31,162.92
417.11,289.74,269.24,168.75,161.81,186.35,165.12
358.39,311.34,260.03,170.71,165.68,187.16,162.38
308.75,287.68,245.67,171.29,167.13,182.05,164.57
306.47,263.37,247.86,171.67,165.71,185.05,162.77
340.39,278.94,254.66,169.79,166.75,180.3,163.85
325.45,310.24,249.11,174.99,165.45,185.18,163.22
386.76,316.35,241.97,171.86,167.13,182.35,159.35
344.1,258.24,258.32,169.4,166.4,183.28,165.14
307.16,284.85,265.62,173.61,167.93,182.48,163.34
358.57,314.38,264.89,170.34,164.89,186.32,163.89
325.66,272.71,246.45,170.07,164.98,185.73,164.18
457.93,286.64,261.89,172.4,167.25,179.1,163.79
383.31,282.7,246.52,173.38,165.54,183.09,162.12
359.09,317.89,250.32,171.24,166.04,185.47,163.32
387.19,315.22,248.19,173.05,165.69,185.09,162.98
360.62,269.82,264.82,171.35,165.98,185.29,162.22
344.72,299.64,276.04,171.52,164.64,181.86,162.57
364.08,311.29,258.93,169.64,165.75,184.74,163.8
391.39,334.53,266.67,172.42,165.22,181.86,163.94
324.72,261.55,240.45,174.17,167.01,186.5,164.24
342.48,307.87,264.09,170.16,167.76,187.98,165.39
317.13,260.52,248.0,172.59,167.3,180.53,160.65
369.96,297.59,240.87,173.04,166.3,185.43,163.2
370.76,314.21,264.68,171.61,168.73,183.64,164.15
395.67,297.89,241.18,171.49,165.8,183.28,163.2
376.51,311.99,267.48,173.94,166.48,188.14,163.46
384.74,267.82,244.58,170.45,163.06,185.93,164.85
419.53,259.73,251.3,175.11,168.5,186.71,164.75
311.59,272.78,254.52,168.04,166.85,184.61,164.24
397.77,278.58,269.8,167.95,166.47,186.72,163.68
338.76,339.51,267.13,169.92,162.78,183.62,165.41
399.12,295.77,242.14,169.0,168.55,180.41,162.41
385.58,317.73,251.9,172.28,165.75,184.84,161.84
412.32,286.38,262.5,168.92,165.57,187.49,164.3
326.93,303.11,251.64,172.77,164.32,185.58,164.34
302.25,274.58,259.38,171.05,165.69,183.16,159.63
417.25,297.27,256.07,168.32,166.19,178.06,163.01
376.26,323.14,246.89,171.35,164.08,186.98,163.58
314.96,285.68,245.12,171.77,164.66,182.98,161.54
379.43,307.51,261.54,171.42,164.42,180.81,162.08
349.85,240.57,287.95,172.82,162.04,183.6,164.63
366.05,289.45,245.63,170.67,166.37,184.53,163.64
383.02,296.91,254.17,170.52,164.18,184.22,164.19
339.75,262.81,263.06,168.81,165.1,181.88,161.82
339.43,293.39,265.95,171.3,166.03,184.8,162.05
414.43,279.19,269.83,171.88,166.78,180.43,164.05
368.49,259.83,255.57,174.97,161.4,183.5,162.18
444.56,284.93,265.98,169.98,165.91,183.76,165.18
402.82,273.56,257.04,169.71,165.25,184.8,162.44
372.78,276.84,245.8,171.28,165.79,184.44,161.9
384.64,269.27,258.14,171.84,166.06,184.46,165.26
331.13,278.31,256.05,174.51,165.66,187.55,162.09
387.95,290.73,246.97,167.98,166.27,182.49,164.15
412.01,326.51,257.39,171.05,164.16,185.33,165.0
321.08,314.08,250.29,171.67,165.42,179.23,161.38
462.57,276.12,272.69,168.38,167.33,184.65,161.84
360.68,277.27,261.6,171.35,163.47,186.58,160.47
410.9,270.01,280.21,170.3,164.72,184.5,160.8
326.83,300.21,248.18,170.44,165.67,181.55,163.54
450.73,311.32,270.4,171.18,168.35,184.09,160.98
354.75,339.06,238.05,168.38,164.72,183.24,164.81
435.22,312.27,250.11,169.56,165.64,186.35,162.3
334.74,309.48,260.45,169.14,165.03,184.84,165.22
322.88,299.16,264.79,171.39,166.74,185.55,161.27
361.48,269.28,259.09,169.78,165.73,182.11,161.45
383.92,348.21,262.53,168.92,165.25,187.07,162.87
464.15,285.7,268.18,169.98,167.23,184.58,163.11
356.1,298.83,262.48,169.59,164.2,184.15,164.04
410.95,287.5,252.09,172.85,162.32,184.93,162.03
350.63,266.73,273.41,169.15,166.95,181.91,161.02
286.04,338.86,256.01,170.91,165.61,181.4,162.62
430.66,267.51,245.07,170.34,165.63,187.79,165.26
378.07,257.24,273.42,171.1,164.95,178.49,163.25
339.14,307.93,259.71,168.44,166.07,185.82,164.03
404.22,307.15,235.03,169.28,166.58,181.41,165.36
344.88,259.39,263.92,171.67,167.01,180.86,162.51
403.4,274.79,263.59,169.76,166.31,185.21,164.63
338.07,355.42,246.1,169.74,167.32,186.12,163.52
335.85,284.94,257.6,170.33,164.33,183.98,165.15
389.65,285.13,265.55,172.08,164.75,182.0,164.38
317.93,313.2,255.51,171.32,167.56,185.64,161.39
340.48,328.03,244.09,168.0,163.89,189.06,163.13
434.28,279.57,260.47,172.81,165.21,188.38,162.84
341.7,327.0,281.36,172.71,167.61,186.35,163.7
333.75,297.85,271.06,169.99,165.59,183.93,160.58
348.63,294.79,271.53,169.91,166.47,182.07,161.94
335.68,306.5,248.81,167.27,163.84,183.01,162.48
393.03,258.79,257.08,170.33,167.26,180.13,162.77
360.83,293.34,268.4,170.04,169.32,184.92,165.32
336.73,331.33,277.76,169.78,164.15,183.83,161.96
344.93,338.49,263.48,172.54,167.04,180.51,164.25
341.34,270.2,253.44,169.68,164.95,180.04,162.21
456.3,282.69,251.14,168.91,165.38,183.34,161.54
290.72,273.85,285.07,167.68,160.02,182.0,162.1
318.8,305.09,268.01,167.81,165.78,180.08,163.31
355.08,289.2,251.64,169.37,165.35,181.78,161.48
384.64,296.44,262.71,170.17,164.85,185.35,163.87
336.0,292.45,252.86,173.8,167.32,183.43,164.75
417.82,257.45,251.85,173.01,163.51,188.74,162.39
451.99,269.44,237.66,171.64,163.48,184.41,163.46
393.89,314.75,254.9,171.3,163.75,183.88,160.92
373.66,327.24,237.63,169.87,165.68,179.2,164.15
394.79,294.31,276.6,171.23,166.63,185.69,165.14
395.99,325.08,248.43,170.36,165.19,181.14,162.18
418.19,317.26,240.61,172.69,163.52,182.45,162.53
364.43,344.81,250.71,171.83,164.25,180.18,162.89
367.15,295.49,247.82,169.47,163.8,180.58,163.44
403.41,290.72,246.27,169.71,165.95,185.51,162.48
401.4,266.88,245.94,166.85,165.75,183.9,164.27
387.3,347.36,243.56,171.59,165.33,185.39,164.61
354.71,320.41,246.09,172.8,167.41,187.0,163.01
356.4,297.13,262.38,168.41,164.56,184.0,164.51
482.43,306.76,272.87,172.62,165.63,178.08,163.56
388.76,281.56,292.48,170.38,164.98,182.16,164.22
426.54,333.87,256.72,173.11,166.16,177.66,162.62
375.09,319.92,258.18,171.25,164.42,182.62,163.78
331.57,282.33,243.92,169.36,164.92,181.28,164.15
361.34,283.35,242.52,173.97,162.98,181.79,164.47
323.88,264.5,247.21,167.22,165.21,184.12,161.3
439.07,282.2,267.86,173.17,163.75,186.85,165.32
410.47,280.85,248.32,169.72,166.26,185.66,163.71
360.42,297.63,253.37,170.5,166.47,184.59,159.48
413.5,313.02,282.54,170.97,164.97,185.44,162.68
407.4,298.79,249.61,171.41,163.82,185.92,162.5
420.01,316.86,264.34,175.07,167.62,182.62,160.96
413.08,291.3,257.96,167.48,164.14,180.78,162.78
326.62,289.77,277.22,171.3,166.64,182.79,161.51
359.6,292.6,260.69,172.09,166.37,185.91,162.95
361.26,264.11,247.25,170.39,165.96,184.23,163.74
339.83,300.86,264.51,172.41,160.87,182.26,161.99
390.59,309.71,246.36,165.73,166.52,185.71,160.73
357.38,321.43,265.5,173.79,166.69,181.51,162.89
368.51,306.96,272.77,169.23,166.08,185.14,157.83
371.9,308.72,275.4,171.99,165.82,183.76,164.03
412.06,317.69,236.22,171.49,166.62,187.65,163.22
438.21,250.85,260.98,169.92,160.64,179.82,161.61
376.35,280.93,259.61,172.36,165.28,179.76,160.49
368.45,296.62,247.74,171.22,168.71,181.47,164.89
323.45,271.39,268.41,165.99,165.64,182.04,160.98
358.97,285.62,264.03,169.04,166.38,181.01,162.41
426.72,277.25,250.43,168.89,167.7,185.01,164.83
392.26,318.38,268.15,170.62,163.26,185.14,162.36
443.67,320.94,261.48,172.97,165.13,184.55,162.02
428.53,294.27,273.9,172.47,164.35,187.54,162.83
420.18,318.37,242.03,172.09,165.03,180.39,163.41
320.46,283.88,275.62,171.73,164.94,183.89,163.34
466.01,279.97,245.87,172.71,165.74,187.78,162.05
358.6,284.14,272.13,169.21,168.15,184.69,164.91
403.44,291.66,248.07,168.69,167.0,184.04,161.7
373.61,288.79,237.99,170.41,166.51,185.11,163.53
348.73,306.63,240.67,171.55,165.36,180.0,164.09
381.97,308.19,246.46,170.79,164.79,185.19,164.96
440.26,333.94,279.36,173.48,168.25,180.66,164.06
279.83,299.0,254.62,168.67,165.5,186.63,163.61
363.34,304.36,260.87,173.16,166.45,179.74,163.98
349.48,311.45,258.18,171.77,161.34,181.63,159.41
356.31,290.61,260.57,170.57,161.88,181.67,163.77
385.22,275.24,253.37,167.47,164.49,183.89,164.91
396.77,277.07,258.1,170.62,166.49,184.01,159.68
388.97,305.1,237.23,170.61,165.79,182.11,165.2
347.91,280.22,263.15,168.12,165.22,179.59,162.98
383.92,291.4,261.42,170.23,161.25,186.83,163.46
418.71,304.29,250.29,168.8,163.24,182.29,161.6
364.88,312.01,270.3,170.99,162.23,182.9,164.69
346.41,293.72,262.37,172.53,166.24,181.55,163.35
387.24,341.5,251.41,170.96,167.76,184.24,163.45
354.56,293.98,245.9,171.98,162.18,184.78,163.23
336.34,276.93,255.53,171.41,166.99,184.06,164.84
346.05,307.71,264.66,172.03,165.99,185.66,164.02
366.75,290.85,257.2,171.17,165.21,182.88,164.76
345.89,251.89,258.02,168.16,168.17,183.04,163.37
403.77,335.03,256.41,170.67,166.41,180.32,164.72
421.33,272.89,259.4,173.68,165.78,181.34,163.32
346.84,316.9,258.68,168.46,166.02,185.46,161.27
430.24,269.97,254.26,170.53,168.96,185.96,162.47
319.63,292.62,259.17,168.95,164.64,181.7,162.03
344.9,302.77,270.41,170.47,163.54,186.88,161.96
375.06,288.12,249.29,166.46,163.64,182.6,164.21
332.74,246.08,243.72,169.49,162.87,183.38,163.43
386.76,269.42,258.9,170.35,163.86,182.26,163.67
353.83,284.25,251.96,171.56,167.14,181.95,164.4
347.48,293.88,246.73,169.93,161.27,181.6,159.92
273.91,300.34,254.81,170.04,161.95,187.62,164.49
336.42,310.09,242.76,172.93,169.56,187.61,164.6
291.64,268.97,260.52,172.8,163.7,185.86,165.1
