random,por_zona,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen,steffen2
2548,2507,2297,2266,2288,2339,2069
2589,2607,2213,2369,2304,2381,2095
2423,2625,2252,2324,2302,2302,2043
2530,2479,2188,2318,2326,2330,2083
2488,2371,2264,2355,2305,2351,2084
2522,2495,2245,2295,2300,2374,2086
2628,2530,2222,2326,2345,2332,2081
2564,2465,2264,2356,2277,2375,2079
2405,2487,2234,2366,2306,2334,2077
2527,2471,2260,2320,2250,2368,2082
2527,2553,2242,2392,2330,2315,2059
2560,2410,2299,2308,2293,2336,2045
2569,2545,2305,2370,2293,2379,2084
2593,2503,2234,2319,2269,2308,2049
2449,2437,2231,2299,2328,2330,2072
2338,2507,2245,2411,2339,2330,2064
2613,2594,2248,2355,2244,2378,2078
2514,2481,2304,2335,2322,2297,2047
2584,2427,2281,2230,2323,2299,2054
2476,2517,2280,2371,2318,2392,2117
2473,2465,2222,2310,2304,2316,2032
2491,2483,2239,2380,2280,2332,2066
2553,2463,2234,2298,2304,2387,2077
2572,2514,2227,2344,2290,2351,2077
2442,2480,2255,2399,2354,2347,2075
2348,2543,2338,2354,2344,2374,2102
2514,2560,2218,2358,2247,2288,2037
2519,2536,2223,2276,2297,2284,2044
2532,2403,2255,2357,2307,2346,2065
2641,2412,2250,2396,2301,2368,2093
2510,2625,2290,2396,2366,2370,2075
2390,2494,2309,2245,2305,2369,2095
2585,2611,2231,2392,2363,2385,2108
2430,2613,2250,2386,2320,2346,2090
2575,2459,2226,2326,2332,2301,2059
2561,2492,2229,2388,2288,2373,2089
2510,2586,2268,2442,2244,2342,2090
2468,2540,2251,2379,2314,2384,2076
2477,2495,2242,2384,2322,2358,2063
2552,2532,2219,2261,2293,2350,2077
2388,2554,2263,2351,2287,2315,2035
2533,2572,2304,2349,2264,2363,2090
2505,2576,2306,2432,2341,2325,2065
2553,2642,2235,2295,2285,2369,2093
2566,2552,2220,2398,2265,2384,2087
2539,2494,2279,2262,2312,2391,2086
2565,2450,2263,2369,2287,2264,2041
2455,2568,2317,2359,2300,2414,2104
2463,2589,2324,2319,2272,2326,2065
2467,2377,2269,2345,2304,2272,2013
2613,2458,2278,2412,2283,2389,2097
2525,2441,2287,2365,2289,2298,2035
2593,2487,2252,2290,2301,2358,2093
2513,2465,2327,2281,2300,2309,2053
2414,2530,2231,2397,2313,2381,2093
2518,2550,2222,2328,2296,2372,2068
2437,2498,2276,2344,2381,2336,2074
2266,2424,2235,2377,2255,2397,2087
2547,2520,2199,2376,2308,2406,2104
2521,2603,2235,2391,2235,2365,2068
2480,2422,2265,2290,2294,2277,2054
2564,2397,2270,2381,2329,2301,2032
2466,2624,2263,2300,2276,2286,2031
2451,2600,2251,2314,2244,2347,2068
2503,2407,2279,2410,2323,2313,2062
2456,2457,2258,2323,2315,2320,2078
2566,2603,2266,2335,2322,2326,2084
2505,2543,2189,2320,2312,2373,2092
2466,2548,2257,2341,2331,2321,2078
2634,2499,2201,2319,2316,2333,2090
2544,2401,2225,2254,2340,2372,2077
2513,2492,2204,2343,2291,2302,2042
2589,2410,2249,2234,2298,2350,2092
2603,2563,2290,2232,2320,2328,2068
2511,2561,2296,2309,2288,2297,2032
2362,2453,2247,2279,2268,2377,2090
2604,2554,2267,2280,2340,2386,2077
2442,2566,2196,2337,2222,2382,2078
2560,2548,2242,2353,2343,2403,2093
2497,2474,2216,2329,2291,2401,2099
2492,2593,2270,2401,2245,2280,2023
2557,2493,2317,2370,2321,2356,2102
2451,2498,2342,2376,2311,2318,2071
2408,2566,2314,2361,2314,2364,2090
2553,2392,2303,2293,2285,2328,2044
2387,2508,2230,2354,2298,2353,2078
2445,2555,2211,2256,2360,2369,2081
2603,2519,2227,2373,2358,2331,2086
2414,2427,2336,2373,2301,2374,2090
2415,2603,2264,2405,2309,2287,2035
2591,2538,2303,2376,2257,2336,2063
2473,2653,2277,2275,2301,2398,2102
2397,2548,2291,2405,2271,2337,2078
2576,2475,2268,2314,2329,2389,2093
2441,2551,2316,2259,2323,2343,2066
2620,2499,2248,2383,2262,2344,2075
2537,2623,2293,2217,2270,2337,2059
2642,2674,2225,2361,2296,2365,2081
2389,2555,2271,2334,2258,2368,2084
2541,2471,2273,2257,2270,2366,2102
2436,2625,2236,2301,2267,2369,2081
2550,2570,2302,2372,2339,2373,2098
2458,2559,2210,2346,2295,2371,2099
2563,2562,2270,2285,2366,2290,2059
2606,2440,2258,2340,2323,2313,2077
2514,2498,2222,2261,2314,2316,2038
2522,2475,2250,2434,2260,2402,2090
2507,2535,2226,2337,2318,2360,2082
2531,2497,2223,2284,2248,2375,2080
2444,2561,2264,2252,2276,2343,2096
2558,2540,2226,2357,2218,2356,2063
2500,2505,2246,2324,2258,2342,2074
2459,2657,2258,2418,2314,2338,2072
2519,2504,2187,2372,2314,2377,2105
2432,2527,2278,2258,2349,2453,2125
2442,2601,2308,2345,2347,2365,2074
2515,2548,2286,2367,2311,2300,2049
2524,2579,2269,2363,2195,2365,2104
2513,2526,2266,2365,2295,2328,2090
2523,2509,2278,2374,2272,2389,2092
