random,por_zona,back_to_front,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen
2548,2507,2725,2297,2266,2288,2069
2589,2607,2929,2213,2369,2304,2095
2423,2625,2836,2252,2324,2302,2043
2530,2479,2831,2188,2318,2326,2083
2488,2371,2918,2264,2355,2305,2084
2522,2495,2887,2245,2295,2300,2086
2628,2530,2856,2222,2326,2345,2081
2564,2465,2708,2264,2356,2277,2079
2405,2487,2682,2234,2366,2306,2077
2527,2471,2785,2260,2320,2250,2082
2527,2553,2840,2242,2392,2330,2059
2560,2410,2707,2299,2308,2293,2045
2569,2545,2829,2305,2370,2293,2084
2593,2503,2708,2234,2319,2269,2049
2449,2437,2761,2231,2299,2328,2072
2338,2507,2771,2245,2411,2339,2064
2613,2594,2924,2248,2355,2244,2078
2514,2481,2819,2304,2335,2322,2047
2584,2427,2759,2281,2230,2323,2054
2476,2517,2774,2280,2371,2318,2117
2473,2465,2823,2222,2310,2304,2032
2491,2483,2894,2239,2380,2280,2066
2553,2463,2823,2234,2298,2304,2077
2572,2514,2836,2227,2344,2290,2077
2442,2480,2772,2255,2399,2354,2075
2348,2543,2872,2338,2354,2344,2102
2514,2560,2752,2218,2358,2247,2037
2519,2536,2676,2223,2276,2297,2044
2532,2403,2820,2255,2357,2307,2065
2641,2412,2723,2250,2396,2301,2093
2510,2625,2858,2290,2396,2366,2075
2390,2494,2770,2309,2245,2305,2095
2585,2611,2717,2231,2392,2363,2108
2430,2613,2790,2250,2386,2320,2090
2575,2459,2864,2226,2326,2332,2059
2561,2492,2909,2229,2388,2288,2089
2510,2586,2675,2268,2442,2244,2090
2468,2540,2809,2251,2379,2314,2076
2477,2495,2822,2242,2384,2322,2063
2552,2532,2753,2219,2261,2293,2077
2388,2554,2806,2263,2351,2287,2035
2533,2572,2805,2304,2349,2264,2090
2505,2576,2730,2306,2432,2341,2065
2553,2642,2751,2235,2295,2285,2093
2566,2552,2783,2220,2398,2265,2087
2539,2494,2942,2279,2262,2312,2086
2565,2450,2728,2263,2369,2287,2041
2455,2568,2758,2317,2359,2300,2104
2463,2589,2806,2324,2319,2272,2065
2467,2377,2851,2269,2345,2304,2013
2613,2458,2826,2278,2412,2283,2097
2525,2441,2763,2287,2365,2289,2035
2593,2487,2847,2252,2290,2301,2093
2513,2465,2789,2327,2281,2300,2053
2414,2530,2761,2231,2397,2313,2093
2518,2550,2790,2222,2328,2296,2068
2437,2498,2789,2276,2344,2381,2074
2266,2424,2724,2235,2377,2255,2087
2547,2520,2741,2199,2376,2308,2104
2521,2603,2798,2235,2391,2235,2068
2480,2422,2837,2265,2290,2294,2054
2564,2397,2790,2270,2381,2329,2032
2466,2624,2937,2263,2300,2276,2031
2451,2600,2747,2251,2314,2244,2068
2503,2407,2846,2279,2410,2323,2062
2456,2457,2640,2258,2323,2315,2078
2566,2603,2714,2266,2335,2322,2084
2505,2543,2807,2189,2320,2312,2092
2466,2548,2898,2257,2341,2331,2078
2634,2499,2845,2201,2319,2316,2090
2544,2401,2793,2225,2254,2340,2077
2513,2492,2842,2204,2343,2291,2042
2589,2410,2808,2249,2234,2298,2092
2603,2563,2720,2290,2232,2320,2068
2511,2561,2957,2296,2309,2288,2032
2362,2453,2843,2247,2279,2268,2090
2604,2554,2713,2267,2280,2340,2077
2442,2566,2894,2196,2337,2222,2078
2560,2548,2809,2242,2353,2343,2093
2497,2474,2631,2216,2329,2291,2099
2492,2593,2873,2270,2401,2245,2023
2557,2493,2842,2317,2370,2321,2102
2451,2498,2803,2342,2376,2311,2071
2408,2566,2821,2314,2361,2314,2090
2553,2392,2820,2303,2293,2285,2044
2387,2508,2788,2230,2354,2298,2078
2445,2555,2673,2211,2256,2360,2081
2603,2519,2746,2227,2373,2358,2086
2414,2427,2935,2336,2373,2301,2090
2415,2603,2823,2264,2405,2309,2035
2591,2538,2779,2303,2376,2257,2063
2473,2653,2713,2277,2275,2301,2102
2397,2548,2828,2291,2405,2271,2078
2576,2475,2857,2268,2314,2329,2093
2441,2551,2885,2316,2259,2323,2066
2620,2499,2755,2248,2383,2262,2075
2537,2623,2795,2293,2217,2270,2059
2642,2674,2735,2225,2361,2296,2081
2389,2555,2993,2271,2334,2258,2084
2541,2471,2898,2273,2257,2270,2102
2436,2625,2774,2236,2301,2267,2081
2550,2570,2836,2302,2372,2339,2098
2458,2559,2707,2210,2346,2295,2099
2563,2562,2815,2270,2285,2366,2059
2606,2440,2651,2258,2340,2323,2077
2514,2498,2815,2222,2261,2314,2038
2522,2475,2679,2250,2434,2260,2090
2507,2535,2892,2226,2337,2318,2082
2531,2497,2735,2223,2284,2248,2080
2444,2561,2672,2264,2252,2276,2096
2558,2540,2763,2226,2357,2218,2063
2500,2505,2779,2246,2324,2258,2074
2459,2657,2795,2258,2418,2314,2072
2519,2504,2716,2187,2372,2314,2105
2432,2527,2707,2278,2258,2349,2125
2442,2601,2792,2308,2345,2347,2074
2515,2548,2837,2286,2367,2311,2049
2524,2579,2937,2269,2363,2195,2104
2513,2526,3023,2266,2365,2295,2090
2523,2509,2839,2278,2374,2272,2092
2436,2536,2803,2272,2324,2295,2086
2428,2537,2749,2248,2393,2293,2083
2433,2597,2752,2278,2240,2292,2093
2366,2559,2784,2270,2324,2301,2080
2560,2500,2939,2196,2234,2352,2095
2556,2526,2679,2262,2406,2337,2066
2514,2567,2755,2207,2311,2290,2033
2534,2506,2888,2243,2368,2339,2066
2551,2603,2723,2160,2318,2324,2048
2475,2571,2871,2218,2340,2291,2053
2500,2482,2850,2298,2293,2285,2075
2534,2435,2842,2231,2299,2285,2075
2537,2495,2809,2195,2383,2319,2084
2390,2431,2759,2277,2311,2274,2072
2520,2619,2824,2209,2312,2295,2050
2409,2549,2808,2218,2337,2289,2036
2520,2589,2869,2267,2328,2282,2075
2525,2566,2813,2251,2411,2340,2041
2558,2456,2902,2225,2292,2291,2086
2514,2509,2703,2262,2317,2372,2063
2593,2650,2833,2231,2248,2262,2074
2481,2601,2826,2208,2338,2242,2066
2507,2420,2721,2235,2375,2265,2107
2514,2549,2836,2196,2405,2257,2042
2376,2654,2874,2242,2379,2258,2069
2512,2480,2747,2308,2327,2317,2077
2377,2518,2898,2330,2298,2321,2049
2550,2642,2795,2225,2329,2305,2078
2552,2569,2835,2297,2326,2332,2068
2464,2559,2689,2254,2258,2235,2066
2548,2563,2918,2232,2309,2290,2060
2614,2543,2752,2254,2285,2350,2096
2401,2597,2834,2297,2377,2333,2077
2540,2488,2843,2258,2354,2326,2056
2570,2455,2695,2167,2371,2296,2076
2444,2646,2698,2231,2298,2251,2081
2423,2641,2750,2238,2287,2292,2082
2596,2418,2932,2241,2290,2261,2094
2474,2705,2776,2188,2336,2340,2066
2299,2492,2816,2270,2309,2232,2096
2519,2590,2805,2229,2252,2262,2048
2564,2482,2790,2244,2313,2278,2047
2538,2518,2761,2285,2354,2304,2077
2470,2494,2745,2218,2306,2282,2066
2600,2464,2624,2245,2348,2282,2120
2413,2416,2827,2271,2347,2243,2077
2461,2508,2853,2245,2296,2322,2068
2639,2523,2777,2240,2331,2280,2051
2462,2502,2877,2283,2327,2269,2087
2458,2501,2805,2213,2368,2236,2075
2558,2581,2764,2229,2262,2281,2089
2492,2499,2670,2290,2333,2321,2083
2493,2482,2744,2264,2391,2318,2081
2483,2463,2830,2276,2391,2332,2057
2513,2569,2808,2266,2279,2292,2108
2570,2456,2785,2217,2358,2285,2077
2505,2540,2852,2275,2441,2264,2096
2515,2497,2927,2243,2421,2260,2066
2496,2510,2779,2250,2274,2298,2057
2642,2492,2755,2234,2404,2339,2090
2398,2530,2817,2228,2341,2301,2056
2381,2552,2878,2153,2323,2331,2050
2467,2313,2686,2288,2347,2316,2087
2499,2536,2719,2255,2209,2316,2063
2522,2584,2846,2299,2346,2252,2068
2507,2389,2785,2302,2400,2290,2074
2393,2567,2714,2241,2304,2297,2030
2552,2537,2812,2302,2302,2342,2084
