K_grupos,promedio,desvio_std,min,max,mediana
25,2635.101,62.78631156486197,2417,2840,2638.0
24,2632.003,64.26918016062223,2432,2860,2629.0
23,2625.121,63.26900762874605,2420,2825,2626.0
22,2613.771,65.04079384404731,2393,2815,2617.0
21,2609.953,66.63276007877593,2369,2861,2611.5
20,2599.421,65.32997600462413,2375,2821,2600.0
19,2585.358,65.51575497657147,2357,2799,2584.0
18,2584.353,66.96016767493235,2364,2819,2584.0
17,2568.971,64.7894422790537,2377,2769,2568.0
16,2564.535,67.48344085618182,2353,2799,2564.0
15,2555,69.33206282042194,2350,2806,2555.0
14,2546.827,67.08798602483807,2296,2789,2546.0
13,2539.316,67.99864675094615,2307,2763,2538.0
12,2544.205,67.2864804061369,2342,2737,2544.0
11,2521.404,68.40011227592656,2328,2811,2520.0
10,2504.856,65.66602844158683,2279,2732,2503.5
9,2486.99,68.79347674338347,2290,2691,2489.0
8,2476.026,66.96930798666067,2258,2692,2475.0
7,2453.802,66.88851073890694,2261,2656,2455.0
6,2445.59,64.64632276508114,2232,2633,2445.5
5,2417.523,63.72269652998885,2231,2604,2416.0
4,2403.74,66.7618569659768,2184,2639,2400.5
3,2381.755,66.15163651803343,2154,2587,2376.0
2,2376.464,65.52485185187533,2187,2591,2376.0
1,2450.755,73.78890009192966,2208,2686,2450.0
