K=25,K=24,K=23,K=22,K=21,K=20,K=19,K=18,K=17,K=16,K=15,K=14,K=13,K=12,K=11,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2,K=1
2725,2725,2656,2639,2664,2643,2612,2604,2610,2604,2581,2528,2589,2635,2665,2548,2562,2716,2685,2529,2507,2452,2466,2424,2597
2929,2929,2884,2897,2893,2883,2796,2767,2721,2661,2665,2718,2590,2791,2784,2777,2675,2737,2777,2603,2607,2466,2437,2306,2256
2836,2836,2797,2790,2801,2744,2778,2743,2736,2773,2692,2686,2634,2741,2742,2568,2582,2574,2538,2550,2625,2459,2580,2410,2561
2831,2831,2841,2772,2765,2776,2779,2793,2787,2747,2665,2707,2645,2610,2606,2535,2733,2561,2587,2480,2479,2449,2381,2404,2407
2918,2918,2956,2944,2929,2945,2858,2807,2788,2766,2732,2716,2721,2774,2729,2693,2752,2576,2575,2520,2371,2422,2553,2505,2488
2887,2887,2886,2831,2827,2814,2782,2694,2773,2630,2711,2689,2646,2607,2674,2643,2564,2573,2522,2615,2495,2411,2512,2307,2390
2856,2856,2832,2835,2863,2862,2809,2758,2692,2680,2625,2648,2483,2782,2814,2890,2605,2580,2598,2527,2530,2529,2375,2437,2499
2708,2708,2748,2743,2826,2817,2809,2639,2578,2560,2628,2485,2518,2634,2531,2526,2637,2500,2484,2555,2465,2639,2505,2519,2410
2682,2682,2736,2669,2744,2728,2683,2792,2680,2754,2677,2659,2600,2706,2701,2668,2731,2742,2573,2686,2487,2389,2610,2459,2539
2785,2785,2832,2886,2751,2706,2709,2610,2570,2615,2533,2507,2634,2484,2491,2696,2531,2492,2540,2497,2471,2435,2469,2339,2579
2840,2840,2788,2800,2796,2792,2667,2710,2687,2659,2688,2642,2668,2681,2772,2585,2637,2678,2707,2714,2553,2498,2402,2402,2596
2707,2707,2713,2723,2737,2719,2695,2726,2750,2593,2685,2649,2584,2621,2767,2655,2716,2631,2612,2608,2410,2403,2528,2490,2512
2829,2829,2767,2764,2720,2719,2741,2725,2708,2743,2717,2674,2634,2698,2741,2614,2639,2618,2673,2580,2545,2537,2469,2248,2446
2708,2708,2661,2650,2577,2559,2743,2680,2709,2596,2694,2702,2648,2517,2594,2623,2645,2550,2597,2464,2503,2494,2471,2403,2523
2761,2761,2793,2797,2734,2611,2697,2561,2556,2520,2456,2464,2641,2645,2556,2620,2473,2613,2657,2505,2437,2434,2491,2427,2435
2771,2771,2757,2734,2752,2834,2778,2686,2711,2707,2710,2690,2563,2688,2728,2580,2777,2720,2697,2612,2507,2434,2431,2381,2573
2924,2924,2914,2878,2864,2871,2733,2779,2678,2734,2683,2693,2529,2716,2686,2730,2526,2615,2610,2594,2594,2438,2492,2406,2475
2819,2819,2771,2778,2774,2720,2661,2718,2716,2638,2689,2649,2625,2660,2694,2587,2674,2506,2482,2449,2481,2524,2527,2420,2467
2759,2759,2650,2660,2658,2656,2634,2688,2769,2690,2771,2833,2551,2797,2819,2660,2705,2521,2528,2363,2427,2459,2485,2455,2585
2774,2774,2823,2869,2806,2749,2857,2755,2702,2635,2603,2731,2643,2737,2686,2708,2659,2484,2702,2550,2517,2499,2427,2492,2496
2823,2823,2852,2899,2814,2846,2824,2864,2722,2709,2702,2620,2634,2567,2636,2582,2452,2514,2633,2667,2465,2561,2471,2463,2466
2894,2894,2847,2814,2845,2846,2829,2710,2638,2670,2636,2631,2618,2619,2673,2530,2547,2628,2625,2517,2483,2505,2405,2310,2540
2823,2823,2716,2732,2777,2752,2690,2624,2803,2695,2672,2713,2622,2699,2731,2725,2636,2658,2599,2539,2463,2314,2414,2402,2471
2836,2836,2815,2821,2762,2764,2812,2718,2675,2734,2631,2659,2568,2764,2753,2572,2600,2625,2693,2548,2514,2572,2472,2454,2478
2772,2772,2732,2710,2707,2744,2764,2798,2751,2741,2738,2714,2592,2717,2795,2763,2705,2509,2492,2577,2480,2382,2435,2477,2528
2872,2872,2891,2817,2793,2697,2705,2723,2656,2691,2706,2696,2626,2643,2704,2745,2733,2605,2605,2575,2543,2530,2398,2362,2667
2752,2752,2664,2773,2793,2777,2669,2666,2761,2776,2666,2678,2637,2471,2492,2634,2761,2509,2631,2540,2560,2521,2497,2523,2503
2676,2676,2670,2660,2621,2601,2504,2518,2606,2665,2631,2603,2551,2799,2732,2660,2647,2660,2612,2541,2536,2410,2432,2402,2404
2820,2820,2832,2873,2773,2795,2791,2684,2661,2666,2660,2576,2525,2660,2661,2552,2621,2646,2574,2463,2403,2478,2459,2473,2535
2723,2723,2766,2814,2876,2815,2741,2800,2829,2771,2699,2616,2746,2792,2772,2585,2618,2606,2650,2538,2412,2379,2556,2490,2546
2858,2858,2811,2789,2780,2755,2757,2666,2677,2721,2660,2579,2648,2733,2766,2601,2632,2580,2551,2657,2625,2420,2415,2431,2556
2770,2770,2704,2780,2715,2699,2663,2731,2656,2668,2606,2727,2590,2710,2792,2743,2665,2659,2656,2507,2494,2390,2407,2379,2515
2717,2717,2745,2808,2757,2760,2668,2637,2767,2763,2605,2637,2576,2655,2653,2715,2685,2537,2637,2644,2611,2576,2568,2398,2515
2790,2790,2761,2856,2924,2894,2671,2747,2693,2655,2644,2573,2644,2446,2739,2561,2620,2489,2658,2537,2613,2395,2441,2378,2570
2864,2864,2914,2787,2830,2800,2742,2703,2728,2674,2613,2520,2583,2545,2628,2645,2547,2529,2597,2497,2459,2387,2404,2647,2544
2909,2909,2787,2819,2789,2762,2717,2672,2713,2654,2697,2577,2715,2674,2720,2468,2752,2680,2682,2528,2492,2463,2376,2559,2633
2675,2675,2737,2717,2691,2718,2706,2738,2747,2750,2725,2662,2612,2609,2625,2647,2752,2439,2591,2523,2586,2492,2475,2477,2449
2809,2809,2897,2861,2792,2816,2813,2702,2685,2607,2454,2543,2523,2536,2681,2582,2684,2541,2566,2381,2540,2438,2383,2425,2494
2822,2822,2833,2797,2748,2742,2600,2652,2786,2819,2733,2685,2556,2747,2771,2689,2710,2586,2576,2592,2495,2466,2524,2517,2608
2753,2753,2790,2754,2755,2742,2758,2739,2645,2605,2547,2671,2597,2685,2643,2643,2592,2640,2624,2500,2532,2501,2569,2439,2508
2806,2806,2820,2770,2811,2782,2698,2748,2638,2614,2663,2611,2626,2702,2705,2634,2487,2590,2607,2552,2554,2507,2457,2481,2465
2805,2805,2693,2782,2785,2777,2794,2589,2717,2730,2730,2724,2775,2748,2773,2872,2568,2673,2666,2600,2572,2512,2482,2490,2531
2730,2730,2788,2646,2801,2719,2803,2578,2607,2560,2719,2635,2693,2781,2798,2596,2630,2656,2640,2561,2576,2515,2482,2471,2427
2751,2751,2831,2800,2656,2747,2659,2703,2553,2712,2733,2616,2726,2747,2690,2796,2703,2675,2643,2474,2642,2462,2439,2500,2506
2783,2783,2735,2788,2701,2595,2722,2712,2642,2660,2588,2684,2740,2669,2729,2646,2598,2567,2611,2581,2552,2455,2536,2498,2540
2942,2942,2796,2761,2866,2824,2761,2826,2629,2680,2623,2693,2554,2805,2770,2583,2577,2558,2611,2448,2494,2554,2388,2533,2688
2728,2728,2692,2689,2706,2727,2780,2736,2684,2745,2600,2690,2601,2688,2736,2788,2687,2518,2582,2663,2450,2534,2423,2482,2454
2758,2758,2748,2756,2791,2740,2686,2707,2807,2747,2610,2690,2632,2760,2603,2544,2631,2657,2626,2483,2568,2433,2487,2370,2490
2806,2806,2814,2836,2784,2841,2731,2632,2679,2642,2488,2618,2583,2697,2631,2736,2767,2707,2569,2589,2589,2515,2430,2434,2472
2851,2851,2864,2816,2791,2808,2721,2649,2696,2740,2720,2647,2692,2786,2882,2662,2594,2480,2413,2467,2377,2561,2285,2436,2514
2826,2826,2832,2802,2816,2660,2758,2795,2687,2646,2703,2640,2634,2617,2651,2674,2703,2675,2635,2442,2458,2573,2451,2401,2404
2763,2763,2651,2651,2802,2765,2714,2617,2716,2692,2613,2620,2660,2657,2611,2706,2646,2526,2477,2558,2441,2574,2506,2508,2468
2847,2847,2813,2775,2811,2651,2756,2719,2662,2527,2710,2617,2564,2648,2669,2780,2548,2609,2640,2470,2487,2419,2462,2416,2491
2789,2789,2865,2870,2837,2748,2694,2711,2673,2562,2583,2684,2738,2724,2534,2625,2613,2536,2488,2538,2465,2579,2396,2488,2491
2761,2761,2743,2688,2634,2748,2664,2687,2819,2717,2660,2640,2734,2791,2726,2842,2679,2668,2658,2465,2530,2438,2331,2471,2578
